RAIZ|<DESCRIÇÃORAIZ>|<CAMINHOIMAGEM>|1|1'|<ESPECIE> 
6|Orelhas distintamente separadas sobre a cabeça; cristas infraorbitais desenvolvidas; fossa basiesfenóide muito rasa ou ausente|c:/|7|7'| 
6'|Orelhas unidas na linha média sobre a cabeça; cristas infra-orbitais reduzidas; fossa basiesfenóide moderada a muito profunda|c:/|11|11'| 
7|Dígito IV com a primeira e segunda falanges de tamanho semelhante; borda superior das narinas delimitadas por verrugas pontiagudas diminutas (Fig. 3c); bordas internas das orelhas sobre a cabeça separadas por um espaço maior do que 4,5 mm; antitrago voltado para trás; crista posterior do terceiro molar superior tão longa quanto a primeira (N invertido, em vista oclusal); incisivos 1/1|c:/|8|8'|Molossops (Molossops)
7'|Dígito IV com o comprimento da segunda falange 1/3 ou metade do comprimento da primeira; borda superior das narinas lisa (Fig. 3b), sem verrugas; bordas internas das orelhas sobre a cabeça separadas por um espaço igual ou menor que 4,0 mm; antitrago ovalado e destacado da borda inferior da orelha devido a uma constrição acentuada (Fig. 3b); crista posterior do terceiro molar superior ausente (V em vista oclusal); incisivos 1/2|c:/|9|9'| 
8|Tamanho maior (m - Ant: 34,8-37,1; Ccr: 15,4-16,8; f - Ant: 35,1; Ccr: 17,1); IV dígito - 1ª Fa: 9,4-9,9; 2ª Fa: 4,0-5,5|c:/|NULL|NULL|Molossops (Molossops) neglectus
8'|Tamanho menor (m - Ant: 28,6-32,4; Ccr: 13,5-14,6; f - Ant: 27,7-31,7; Ccr: 13,0-14,6); IV dígito - 1ª Fa: 9,2–10,8; 2ª Fa: 8,7–12,0|c:/|NULL|NULL|Molossops (Molossops) temminckii 
9|Tamanho maior (m - Ant: 44,2-49,0, Ccr: 20,7-23,1; f - Ant: 41,0-46,6; Ccr: 19,3-21,5); IV dígito - 1ª Fa: 15,3–18,5; 2ª Fa: 4,5–7,0|c:/|NULL|NULL|Cynomops abrasus 
9'|Tamanho menor (Ant < 40,0; Ccr < 20,5)|c:/|10|10'| 
10|Comprimento do antebraço:- m - 34,8-38,2; f - 32,3-37,3; Comprimento total do crânio:- m - 16,8-18,4; f - 16,9-20,1; IV dígito - 1ª Fa: 11,7-17,4; 2ª Fa: 3,6-5,4; coloração da pelagem marromavermelhada escura e homogênea por todo o corpo|c:/|NULL|NULL|Cynomops greenhalli 
10'|Comprimento do antebraço:- m - 29,7-35,8; f - 29,0-33.9; Comprimento total do crânio:- m - 14,9-18,7; f - 14,1-17,5; IV dígito - 1ª Fa: 10,7–13,0; 2ª Fa: 3,5-4,8; coloração da pelagem escura no dorso e branca ou castanho-clara (mais pálida) em grande parte da região ventral|c:/|NULL|NULL|Cynomops planirostris 
11|Antitrago ovalado e destacado do restante da orelha devido à constrição acentuada na sua base (Fig.3b); quilha nasal membranosa presente (Fig. 3b); borda superior das narinas lisa; ilhota subnasal distinta, constituída por diminutos pêlos rígidos, curvos e com ápice dilatado (Fig. 3b); hipocone nos dois primeiros molares superiores ausente (Fig. 10b)|c:/|12|12'| 
11'|Antitrago mais alongado e praticamente sem constrição na base, contínuo à borda inferior da orelha; região médio-dorsal do focinho sem quilha (Fig. 3a, c); borda superior da narina coberta por verrugas pontiagudas e diminutos pêlos; região subnasal com pêlos longos e finos direcionados para baixo, sem formar uma ilhota distinta; hipocone do primeiro e segundo molares superiores desenvolvido (Fig. 10a)|c:/|17|17'|Eumops
12|Crânio com crista sagital anterior reduzida; palato muito profundo, em domo; incisivos superiores cônicos, “caniniformes”, curvos e divergentes no ápice (Fig. 4b); incisivos 1/2; pré-molares 2/2, com o primeiro pré-molar superior de tamanho muito reduzido, quase vestigial|c:/|13|13'|Promops
12'|Crânio com crista sagital anterior, no geral, desenvolvida (Fig. 7c); palato raso; incisivos superiores triangulares, não “caniniformes” (Fig. 4c, d); incisivos 1/1; pré-molares1/2|c:/|14|14'|Molossus
13|Tamanho maior (m - Ant: 51,9-54,9; Ccr: 20,9-22,1; f - Ant: 50,0-54,6; Ccr: 19,8-20,6)|c:/|NULL|NULL|Promops centralis
13'|Tamanho menor (m - Ant: 48,5-50,3; Ccr: 18,5-19,2; f - Ant: 45,7-51,8, Ccr: 17,8-19,4)|c:/|NULL|NULL|Promops nasutus
14|Comprimento do antebraço geralmente maior que 45,0; Comprimento da série de dentes superiores maior que 7,0|c:/|15|15'| 
14'|Comprimento do antebraço geralmente menor do que 45,0; Comprimento da série de dentes superiores até 7,0|c:/|16|16'| 
15|Tamanho maior (m - Ant: 46,1-53,0; Ccr: 21,6-23,7; C-M: 7,6-8,2; Lz: 13,4-14,5; f - Ant:46,3-51,8; Ccr: 20,6-20,7; C-M: 7,4-7,8; Lz: 12,8-14,0); incisivos superiores curtos e espatulados, com ápices completamente convergentes (Fig. 4c); coloração castanho-escura ou castanhoavermelhada|c:/|NULL|NULL|Molossus rufus 
15'|Tamanho menor (m - Ant: 45,2-47,7; Ccr: 21,0-21,3; C-M: 7,6-7,7; Lz: 12,8-13,3; f - Ant: 42,6-45.5, Ccr: 19,2-19,6; C-M: 7,2-7,3; Lz: 12,3-12,6); incisivos superiores mais alongados e de ápices menos convergentes (Fig. 4d); coloração castanho escura|c:/|NULL|NULL|Molossus  pretiosus
16|Tamanho maior (m - Ccr: 18,7-20,4; Lz: 11,4-12,6; C-M: 6,5-70. f - Ccr: 18,0-19,4; Lz:11,2-12,2; C-M: 6,2-7,0); incisivos superiores curtos e espatulados, completamente convergentes (Fig. 4c)|c:/|NULL|NULL|Molossus  currentium
16'|Tamanho menor (m - Ccr: 16,0-19,4; Lz: 10,2-11,7; C-M: 5,6-6,8. f - Ccr: 15.5-18,4; Lz: 9,5-11,1; C-M: 5,3-6,6); incisivos superiores mais alongados e de ápices menos convergentes (Fig. 4d)|c:/|NULL|NULL|M. molussus
17|Orelhas grandes (> 28,0); crista posterior do terceiro molar superior de tamanho mediano (Fig. 9b)|c:/|18|18'| 
17'|Orelhas menores (< 28,0); crista posterior do terceiro molar superior desenvolvida, rudimentar ou ausente (N invertido ou V, respectivamente, em vista oclusal) (Fig. 9a, c, d)|c:/|19|19'| 
18|Tamanho maior (m - Ant: 75,6-83,4; Ccr: 33,0-34,0; Lmt: 14,7-16,5; f - Ant: 76,0-81,9; Ccr: 31,2-33,4; Lmt: 14,5-15,5); primeiro pré-molar superior disposto, no geral, mais centralmente na série de dentes, entre o canino e o segundo pré-molar; crista posterior do terceiro molar superior de tamanho mediano, cerca de um quarto do comprimento da segunda; Distribuição no Brasil: Região Central, Caatinga, Mata Atlântica e Pantanal|c:/|NULL|NULL|E. perotis
18'|Tamanho menor (m - Ant: 64,0-73,0; Ccr: 28,7-34,0; Lmt 14,0; f - Ant: 58,0-69,3; Ccr: 27,0-31,0; Lmt 14,0); primeiro pré-molar superior deslocado para a borda labial e mais externamente entre o canino e o segundo pré-molar; crista posterior do terceiro molar superior de tamanho mediano, cerca de metade do comprimento da segunda. Distribuição no Brasil: restrita à bacia amazônica|c:/|NULL|NULL| Eumops trumbulli 
19|Antebraço maior do que 74,0 mm (m - Ant: 82,0; Ccr: 33,5; Lmt: 17,5; f - Ant: 74,5-79,0; Ccr: 31,0-34,8; Lmt: 16,3); trago pequeno (ca. de 2,0 mm) e mais estreito e linear; crista posterior do terceiro molar superior rudimentar. Distribuição presumível no Brasil: regiões do oeste, provavelmente do Pantanal do estado do Mato Grosso do Sul à Região Amazônica|c:/|NULL|NULL| Eumops dabbenei
19'|Antebraço menor do que 70,0 mm|c:/|20|20'A| 
20|Tamanho maior (Ant: > 55,0, Ccr: > 23,0); lábio superior liso, sem sulcos ou dobras cutâneas; crista posterior do terceiro molar superior muito reduzida ou ausente (aspecto de V, em vista oclusal) (Fig. 9c, d)|c:/|21|21'A| 
20'A|Tamanho menor (Ant < 54,0; Ccr < 22,0); lábio superior levemente fincado; crista posterior do terceiro molar superior tão desenvolvida quanto a primeira (aspecto de N invertido, em vista oclusal) (Fig. 9b)|c:/|22|22'A|  
21|Trago pontiagudo (Fig. 11a); coloração dorsal e ventral da pelagem castanho muito escura, quase negra e, às vezes, avermelhada; primeiro pré-molar superior diminuto e geralmente muito deslocado labialmente, de tal modo que o canino encontra-se em contato direto com segundo pré-molar (m - Ant: 57,4-66,2; Ccr: 25,2-27,4; f - Ant: 56,4-65,3, Ccr: 24,0-26,8)|c:/|NULL|NULL| E. auripendulus 
21'A|Trago quadrado (Fig. 11b); coloração da pelagem castanho-clara acinzentada e mais clara na região ventral; primeiro pré-molar superior pequeno e geralmente menos deslocado labialmente em relação ao centro da fileira de dentes, geralmente separando o canino e o segundo pré-molar por um pequeno espaço; (m - Ant: 58,3-62,0; Ccr: 24,5-26,0; f - Ant: 56,0-61,2; Ccr: 24,1-25,0)|c:/|NULL|NULL| E. glaucinus 
22|Comprimento do antebraço maior que 50,0 (Ant: 51,0-53,0; Ccr: 20,1; Lz: 12,3-12,5; Lmt: 10,8-10,9); trago pequeno, linear, de extremidade arredondada, com cerca de 2,0 mm de altura; borda anterior e superior das orelhas lisas; pelagem ventral com uma faixa de pêlos claros, com cerca de 5,0 mm de largura, disposta lateralmente ao corpo, desde a base do braço até a coxa; restante da pelagem dorsal e ventral de coloração castanho muito escura. Distribuição no Brasil: presumivelmente ao norte da Bacia Amazônica|c:/|NULL|NULL| E. maurus
22'A|Comprimento do antebraço menor do que 50,0 mm; borda superior das orelhas com verrugas pontiagudas; ausência de faixa de pelos claros disposta lateralmente ao corpo|c:/|23|23'A| 
23|Tamanho (m - Ant: 41,6; Ccr: 21,5; f - Ant: 37,3-40,0; Ccr: 18,1-19,2); orelhas unidas sobre a cabeça por uma faixa membranosa larga; coloração da pelagem dorsal mais escura que a ventral; crânio proporcionalmente grande (comprimento craniano maior do que 45% do comprimento do antebraço)|c:/|NULL|NULL| E. hansae
23'A|Orelhas unidas sobre a cabeça em um ponto comum, sem uma membrana larga; coloração da pelagem castanho-clara homogênea; crânio proporcionalmente pequeno; comprimento craniano menor que 45% do comprimento do antebraço|c:/|24|24'A| 
24|Crânio curto e largo, com caixa craniana globular e rostro reduzido; comprimento total do crânio proporcionalmente pequeno quando relacionado ao comprimento do antebraço (m - : Ant: 40,0-47,0; Ccr: 17,4-18,8; C-M: 6,0-7,0; Lmt: 10,2-11,5. f - Ant: 42,0-45,9; Ccr: 16,8-18,6; C-M: 6,1-6,8; Lmt: 10,1-11,2); Distribuição no Brasil: presumivelmente no estado do Rio Grande do Sul e no Pantanal do Mato Grosso do Sul|c:/|NULL|NULL| E. patagonicus
24'A|Crânio mais alongado, com caixa craniana menos globular e rostro não reduzido|c:/|25|25'A| E. bonariensis
25|Tamanho menor (m - Ant: 37,3-37,8; Ccr: 16,0-16,6; Lmt 8,5-9,1; f - Ant: 36,8-40,3; Ccr: 15,7-16,9; Lmt 8,7-9,9); No Brasil, distribui-se em Roraima e provavelmente no norte do Amazonas e Pará|c:/|NULL|NULL| E. b. nanus
25'A|Tamanho maior (m - Ant: > 40,0; Ccr: > 17,0; f - Ant: > 42,0; Ccr: > 17,5); no Brasil, distribui-se desde o sul do Rio Amazonas até o rio Grande do Sul|c:/|26|26'A| 
26|Tamanho (m - Ant: 46,1-48,5; Ccr 19,5-20,6; Lmt 11,2-11,5; f - Ant: 43,1-49,7; Ccr: 18,7-20,3; Lmt 9,2-11,2); no Brasil, distribui-se no Rio Grande do Sul|c:/|NULL|NULL| E. b. bonariensis
26'A|Tamanho (m - Ant: 45,8-46,0; Ccr: 17,5-17,7; Lmt 10,1-11,0; f - Ant: 43,3-46,6; Ccr: 18,1-19,2; Lmt 9,6-10,5); No Brasil, distribui-se nas regiões limítrofes com a Bolívia e o Paraguai, onde provavelmente se sobrepõe a E. patagonicus e em direção ao leste, atinge a região oeste do Estado de São Paulo|c:/|NULL|NULL| E. b. beckeri
